province,municipality,barangay,population,households,source,source_url,year
Southern Leyte,Anahawan,Amagusan,610,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Calintaan,492,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Canlabian,452,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Capacuhan,232,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Cogon,424,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Kagingkingan,266,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Lewing,505,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Lo-ok,975,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Mahalo,831,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Mainit,212,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Manigawong,178,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Poblacion,1368,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,San Vicente,862,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Anahawan,Tagup-on,1022,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/anahawan.html,2020
Southern Leyte,Bontoc,Anahao,328,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Banahao,387,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Baugo,513,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Beniton,554,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Buenavista,1376,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Bunga,791,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Casao,751,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Catmon,345,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Catoogan,291,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Cawayanan,546,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Dao,299,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Divisoria,1996,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Esperanza,753,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Guinsangaan,735,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
Southern Leyte,Bontoc,Hibagwan,385,,PhilAtlas page parsed from 2020 Census table,https://www.philatlas.com/visayas/r08/southern-leyte/bontoc.html,2020
